epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2264,2.40776,3.82421,2.30791,0.22981,0.03222,0.0452,0.02784,3.21,3.80811,3.0339,4.444e-05,4.444e-05,4.444e-05
2,17.2051,2.20507,3.44536,2.10182,0.54689,0.15545,0.14685,0.05759,2.3027,3.209,2.32163,9.93301e-05,9.93301e-05,9.93301e-05
3,20.4468,1.88588,2.24636,1.7661,0.31492,0.39698,0.25238,0.11891,2.03233,3.9773,2.11161,0.000153487,0.000153487,0.000153487
4,23.2796,1.65639,1.82215,1.67742,0.39916,0.51539,0.41576,0.24132,1.85124,2.38284,1.97492,0.00020691,0.00020691,0.00020691
5,26.2813,1.62869,1.5977,1.57902,0.54517,0.58988,0.49285,0.2687,1.88434,2.47647,1.93671,0.000259601,0.000259601,0.000259601
6,29.2832,1.62441,1.51667,1.57753,0.59894,0.63203,0.58836,0.31983,1.74733,1.76473,1.8899,0.000311558,0.000311558,0.000311558
7,32.127,1.57541,1.42585,1.58086,0.56248,0.53459,0.51036,0.26225,1.81651,1.89949,2.00479,0.000362781,0.000362781,0.000362781
8,34.771,1.5907,1.40918,1.58901,0.61919,0.48248,0.51913,0.27521,1.78162,1.76547,1.98933,0.000413272,0.000413272,0.000413272
9,37.4988,1.5214,1.35494,1.55782,0.56694,0.52015,0.5192,0.27162,1.69899,1.95322,2.08162,0.000463029,0.000463029,0.000463029
10,40.1557,1.50196,1.34768,1.51112,0.49768,0.53679,0.45663,0.20997,1.91091,2.05246,2.09147,0.000512053,0.000512053,0.000512053
11,43.0788,1.54045,1.31592,1.52787,0.4873,0.58213,0.49653,0.25521,2.07637,2.64626,2.38319,0.000560344,0.000560344,0.000560344
12,45.9334,1.53589,1.34596,1.52468,0.57652,0.47405,0.46837,0.2398,1.78185,2.00626,2.08065,0.000607901,0.000607901,0.000607901
13,48.7695,1.53189,1.36941,1.53578,0.37176,0.47395,0.39851,0.19459,2.14365,2.65361,2.35237,0.000654726,0.000654726,0.000654726
14,51.4687,1.48858,1.25089,1.50756,0.69227,0.55902,0.56147,0.27498,1.79541,1.66204,2.07887,0.000700817,0.000700817,0.000700817
15,54.2698,1.46437,1.29844,1.52094,0.54529,0.62812,0.53701,0.27124,1.89579,1.60164,2.15932,0.000746174,0.000746174,0.000746174
16,56.9416,1.5041,1.28774,1.52143,0.37132,0.45902,0.37693,0.17078,2.37976,2.55126,2.61832,0.000790799,0.000790799,0.000790799
17,59.8821,1.43874,1.18605,1.45111,0.28504,0.39971,0.31829,0.16956,2.33164,3.18184,2.7611,0.00083469,0.00083469,0.00083469
18,62.7972,1.51223,1.27002,1.50685,0.4759,0.33781,0.37482,0.19439,2.2983,2.6364,2.69814,0.000877848,0.000877848,0.000877848
19,65.8024,1.47185,1.25344,1.50993,0.50232,0.38963,0.38861,0.21144,2.31869,2.35429,2.67282,0.000920272,0.000920272,0.000920272
20,68.624,1.46584,1.22498,1.45252,0.41612,0.50415,0.39582,0.19114,2.04259,1.91783,2.1103,0.000961964,0.000961964,0.000961964
21,71.2392,1.41831,1.20648,1.46062,0.27526,0.46738,0.30914,0.12701,2.52172,2.58483,2.82154,0.000964348,0.000964348,0.000964348
22,73.8598,1.4017,1.1565,1.44795,0.39195,0.41013,0.34291,0.15387,2.28915,2.77385,2.58577,0.000957015,0.000957015,0.000957015
23,76.581,1.41916,1.18298,1.45733,0.46343,0.41384,0.40222,0.20153,1.91064,2.10527,2.07756,0.000949683,0.000949683,0.000949683
24,79.3059,1.45636,1.20743,1.45081,0.54671,0.53811,0.54849,0.26098,1.92773,1.7169,2.10445,0.00094235,0.00094235,0.00094235
25,81.9488,1.36017,1.10417,1.41914,0.6182,0.6654,0.65614,0.35798,1.60504,1.27041,1.91343,0.000935018,0.000935018,0.000935018
